Standard Non Ac,201,1250,"","","",sn201
Standard Non Ac,202,1250,"","","",sn202
Standard Non Ac,203,1250,"","","",sn203
Standard Non Ac,204,1250,"","","",sn204
Standard Ac,211,1250,True,"","",sa211
Standard Ac,212,1250,True,"","",sa212
Standard Ac,214,1250,True,"","",sa213
Standard Non Ac with Breakfast,101,1680,"",True,"",snb101
Standard Non Ac with Breakfast,102,1680,"",True,"",snb102
Standard Non Ac with Breakfast,103,1680,"",True,"",snb103
Standard Non Ac with Breakfast,104,1680,"",True,"",snb104
Standard Ac with Breakfast,111,1900,True,True,"",sab111
Standard Ac with Breakfast,112,1900,True,True,"",sab112
Standard Ac with Breakfast,114,1900,True,True,"",sab114
Deluxe Ac with Breakfast,321,2400,True,True,"",dab321
Deluxe Ac with Breakfast,322,2400,True,True,"",dab322
Deluxe Ac with Breakfast,323,2400,True,True,"",dab323
Deluxe Ac with Breakfast Lanch and Dinner,301,2900,True,True,True,dal301
Deluxe Ac with Breakfast Lanch and Dinner,302,2900,True,True,True,dal302
Executive Ac with Breakfast Lanch and Dinner,401,3800,True,True,True,exl401
Executive Ac with Breakfast Lanch and Dinner,402,3800,True,True,True,exl402
Presedential Suite Ac with Breakfast Lanch and Dinner,505,5000,True,True,True,psl505
